"month","day","year"
7,18,1977
8,19,1977
8,20,1977
8,21,1977
8,21,1977
9,11,1977
9,11,1977
9,11,1977
9,11,1977
9,12,1977
9,12,1977
9,12,1977
9,12,1977
9,13,1977
9,13,1977
9,13,1977
9,13,1977
10,16,1977
10,16,1977
10,16,1977
10,17,1977
10,18,1977
10,18,1977
11,12,1977
11,13,1977
11,14,1977
11,14,1977
12,10,1977
12,11,1977
12,11,1977
12,11,1977
12,11,1977
12,11,1977
12,11,1977
1,8,1978
1,9,1978
1,9,1978
1,9,1978
1,9,1978
1,10,1978
2,18,1978
2,19,1978
2,19,1978
3,11,1978
3,11,1978
3,12,1978
3,12,1978
3,12,1978
3,12,1978
3,13,1978
4,8,1978
4,8,1978
4,8,1978
4,8,1978
4,9,1978
4,9,1978
4,9,1978
4,9,1978
4,9,1978
4,10,1978
4,10,1978
5,6,1978
5,6,1978
5,6,1978
5,6,1978
5,17,1978
5,17,1978
5,17,1978
5,18,1978
5,18,1978
5,18,1978
5,18,1978
5,18,1978
5,19,1978
5,19,1978
5,19,1978
5,19,1978
6,8,1978
6,8,1978
6,8,1978
6,8,1978
6,8,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
6,9,1978
7,7,1978
7,7,1978
7,7,1978
7,7,1978
7,8,1978
7,8,1978
7,8,1978
7,8,1978
7,8,1978
7,8,1978
7,8,1978
8,4,1978
8,4,1978
8,4,1978
8,5,1978
8,5,1978
8,5,1978
8,5,1978
8,5,1978
8,5,1978
8,5,1978
9,3,1978
9,3,1978
9,3,1978
9,3,1978
9,4,1978
9,4,1978
9,4,1978
9,4,1978
9,4,1978
10,6,1978
10,7,1978
10,7,1978
10,7,1978
10,7,1978
10,8,1978
10,8,1978
10,8,1978
10,8,1978
10,8,1978
11,4,1978
11,4,1978
11,4,1978
11,4,1978
11,4,1978
11,5,1978
11,5,1978
11,5,1978
12,2,1978
12,3,1978
12,3,1978
12,3,1978
1,29,1979
1,29,1979
2,24,1979
2,25,1979
2,25,1979
2,25,1979
2,25,1979
2,25,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
3,31,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,28,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
4,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,29,1979
5,30,1979
5,30,1979
5,30,1979
5,30,1979
5,30,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,3,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,4,1979
7,24,1979
7,24,1979
7,25,1979
7,25,1979
7,25,1979
7,25,1979
7,26,1979
7,26,1979
7,26,1979
8,21,1979
8,21,1979
8,21,1979
8,22,1979
8,22,1979
8,22,1979
8,22,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
8,23,1979
9,22,1979
9,22,1979
9,22,1979
9,23,1979
9,23,1979
10,24,1979
10,24,1979
10,24,1979
10,24,1979
10,25,1979
10,25,1979
10,25,1979
11,17,1979
11,17,1979
11,18,1979
11,18,1979
11,18,1979
1,15,1980
1,15,1980
1,15,1980
1,16,1980
2,24,1980
2,24,1980
2,24,1980
2,24,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
2,25,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,9,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,21,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
3,22,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,17,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
4,18,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,17,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,18,1980
5,24,1980
5,24,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
5,25,1980
6,2,1980
6,2,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,22,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,23,1980
6,27,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,21,1980
7,22,1980
7,22,1980
7,22,1980
7,22,1980
7,22,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,13,1980
8,14,1980
8,14,1980
8,14,1980
8,14,1980
8,14,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,7,1980
9,8,1980
9,8,1980
9,8,1980
9,8,1980
9,8,1980
10,11,1980
10,11,1980
10,11,1980
10,11,1980
10,11,1980
10,12,1980
10,12,1980
10,12,1980
10,12,1980
10,12,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,8,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
11,9,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,15,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
12,16,1980
1,11,1981
1,11,1981
1,11,1981
1,11,1981
1,11,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,12,1981
1,31,1981
1,31,1981
1,31,1981
1,31,1981
1,31,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
2,1,1981
3,8,1981
3,8,1981
3,8,1981
3,8,1981
3,8,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
3,9,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,5,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
4,6,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,3,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
5,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,4,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,5,1981
6,28,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,7,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,8,1981
7,30,1981
7,30,1981
7,30,1981
7,30,1981
7,30,1981
7,31,1981
7,31,1981
7,31,1981
7,31,1981
8,30,1981
8,30,1981
8,30,1981
8,31,1981
8,31,1981
8,31,1981
9,29,1981
9,30,1981
9,30,1981
10,1,1981
10,1,1981
10,24,1981
10,25,1981
10,25,1981
10,26,1981
10,26,1981
10,26,1981
11,22,1981
11,22,1981
11,22,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
11,23,1981
12,30,1981
12,30,1981
12,30,1981
12,31,1981
12,31,1981
12,31,1981
1,1,1982
1,1,1982
1,1,1982
1,1,1982
1,1,1982
1,24,1982
1,25,1982
1,25,1982
2,22,1982
2,22,1982
2,22,1982
2,22,1982
2,22,1982
2,23,1982
2,23,1982
2,23,1982
2,23,1982
2,23,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
2,24,1982
3,29,1982
3,29,1982
3,29,1982
3,29,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
3,30,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,28,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
4,29,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,21,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
5,22,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,28,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
6,29,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,25,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,26,1982
7,27,1982
7,27,1982
7,27,1982
7,27,1982
7,27,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,15,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
8,16,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,18,1982
9,19,1982
9,19,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,23,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
10,24,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,21,1982
11,22,1982
11,22,1982
11,22,1982
11,22,1982
11,22,1982
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,12,1983
1,13,1983
1,13,1983
1,13,1983
2,26,1983
2,26,1983
2,27,1983
2,27,1983
2,27,1983
2,27,1983
2,27,1983
3,14,1983
3,14,1983
3,14,1983
3,14,1983
3,15,1983
3,15,1983
3,15,1983
3,15,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,16,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
4,17,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,14,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
5,15,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,17,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
6,18,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,16,1983
7,17,1983
7,17,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,15,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
8,16,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,10,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
9,11,1983
10,15,1983
10,15,1983
10,15,1983
10,15,1983
10,15,1983
10,15,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
10,16,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,12,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
11,13,1983
12,8,1983
12,8,1983
12,8,1983
12,8,1983
12,8,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
12,9,1983
2,4,1984
2,4,1984
2,4,1984
2,4,1984
2,4,1984
2,5,1984
2,5,1984
2,5,1984
3,12,1984
3,12,1984
3,12,1984
3,12,1984
3,12,1984
3,13,1984
3,13,1984
3,13,1984
4,9,1984
4,9,1984
4,9,1984
4,9,1984
4,9,1984
4,10,1984
4,10,1984
4,10,1984
5,12,1984
5,12,1984
5,13,1984
5,13,1984
5,13,1984
5,28,1984
7,31,1984
8,1,1984
9,30,1984
10,21,1984
12,31,1984
1,20,1985
2,17,1985
2,17,1985
3,17,1985
3,17,1985
4,20,1985
4,20,1985
4,20,1985
4,20,1985
4,21,1985
4,21,1985
4,21,1985
4,21,1985
4,21,1985
5,24,1985
5,24,1985
5,24,1985
6,16,1985
6,16,1985
6,16,1985
6,16,1985
7,24,1985
7,24,1985
7,24,1985
9,22,1985
9,22,1985
10,13,1985
10,13,1985
10,13,1985
11,16,1985
11,17,1985
11,17,1985
11,17,1985
11,17,1985
12,7,1985
12,8,1985
12,8,1985
12,8,1985
12,8,1985
3,8,1986
3,8,1986
3,8,1986
3,9,1986
3,9,1986
3,9,1986
3,9,1986
3,9,1986
4,12,1986
4,12,1986
4,13,1986
4,13,1986
4,13,1986
4,13,1986
5,10,1986
5,11,1986
5,11,1986
5,11,1986
5,11,1986
6,4,1986
6,5,1986
6,5,1986
7,3,1986
7,3,1986
7,4,1986
7,4,1986
7,4,1986
8,9,1986
8,9,1986
8,10,1986
8,10,1986
9,7,1986
9,7,1986
9,7,1986
9,7,1986
9,7,1986
10,5,1986
10,5,1986
10,5,1986
11,16,1986
11,16,1986
11,16,1986
11,16,1986
12,15,1986
12,15,1986
12,15,1986
12,15,1986
2,1,1987
2,1,1987
2,1,1987
2,1,1987
3,2,1987
3,2,1987
3,2,1987
3,2,1987
3,2,1987
4,4,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,6,1987
4,25,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
4,26,1987
5,28,1987
5,28,1987
5,28,1987
5,28,1987
5,28,1987
6,30,1987
6,30,1987
7,1,1987
7,1,1987
7,1,1987
7,1,1987
7,1,1987
7,26,1987
7,26,1987
7,26,1987
7,26,1987
8,26,1987
8,26,1987
9,27,1987
9,27,1987
9,27,1987
9,27,1987
10,25,1987
10,25,1987
10,25,1987
10,25,1987
11,22,1987
11,22,1987
11,22,1987
1,24,1988
1,24,1988
1,24,1988
2,21,1988
2,22,1988
2,22,1988
3,21,1988
3,21,1988
4,17,1988
4,18,1988
4,19,1988
4,19,1988
5,14,1988
5,15,1988
5,15,1988
6,11,1988
6,12,1988
6,12,1988
7,15,1988
7,15,1988
8,10,1988
8,10,1988
9,12,1988
10,8,1988
10,9,1988
11,5,1988
11,6,1988
12,13,1988
12,14,1988
12,14,1988
1,10,1989
1,11,1989
1,11,1989
2,4,1989
2,5,1989
3,12,1989
3,14,1989
3,14,1989
4,1,1989
4,1,1989
4,2,1989
5,9,1989
5,11,1989
6,3,1989
6,4,1989
7,3,1989
7,4,1989
7,30,1989
10,8,1989
11,5,1989
12,5,1989
1,7,1990
1,30,1990
2,25,1990
3,29,1990
3,30,1990
4,26,1990
5,25,1990
6,21,1990
6,22,1990
7,22,1990
8,17,1990
5,31,1992
7,4,1992
8,30,1992
9,27,1992
10,19,1992
12,22,1992
1,25,1993
2,26,1993
3,18,1993
4,23,1993
5,22,1993
6,18,1993
9,16,1993
10,15,1993
11,13,1993
12,14,1993
3,11,1994
4,10,1994
8,17,1994
9,6,1994
10,12,1994
3,1,1998
3,1,1998
10,24,1998
4,17,1999
5,15,1999
6,12,1999
